iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CAN,North America,Canada,2021-03-01,875388,3694,3028.286,22014,24,42,23193.905,97.875,80.236,583.273,0.636,1.113,0.98,571,15.129,2114,56.012,,,,,101453,24545470,650.346,2.688,103190,2.734,0.029,34.1,tests performed,1946200,1407961,538239,59141,55441,5.16,3.73,1.43,1469,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-02,878051,2663,2949.714,22043,29,40.286,23264.463,70.558,78.154,584.042,0.768,1.067,0.98,578,15.314,2166,57.389,,,,,75664,24621134,652.351,2.005,104045,2.757,0.028,35.3,tests performed,2018238,1470034,548204,72038,58824,5.35,3.89,1.45,1559,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-03,880835,2784,2926.714,22105,62,42.143,23338.226,73.764,77.545,585.685,1.643,1.117,0.99,559,14.811,2138,56.648,,,,,77132,24698266,654.395,2.044,105201,2.787,0.028,35.9,tests performed,2091700,1537273,554427,73462,62734,5.54,4.07,1.47,1662,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-04,883815,2980,2902.857,22152,47,40.571,23417.183,78.957,76.913,586.93,1.245,1.075,1,559,14.811,2111,55.932,,,,,115024,24813290,657.442,3.048,105083,2.784,0.028,36.2,tests performed,2169417,1610535,558882,77717,65423,5.75,4.27,1.48,1733,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-05,886782,2967,2873.571,22183,31,38.286,23495.795,78.612,76.137,587.751,0.821,1.014,1,550,14.573,2080,55.111,,,,,125823,24939113,660.776,3.334,104812,2.777,0.027,36.5,tests performed,2255174,1693203,561971,85757,68067,5.98,4.49,1.49,1803,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-06,889551,2769,2886.286,22212,29,35.857,23569.162,73.366,76.474,588.52,0.768,0.95,1.01,545,14.44,2031,53.813,,,,,128656,25067769,664.185,3.409,105622,2.799,0.027,36.6,tests performed,2329622,1765405,564217,74448,69884,6.17,4.68,1.49,1852,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-07,892199,2648,2929.286,22234,22,34.857,23639.322,70.16,77.613,589.103,0.583,0.924,1.02,537,14.228,2003,53.071,,,,,112774,25180543,667.173,2.988,105218,2.788,0.028,35.9,tests performed,2387189,1821470,565719,57567,71447,6.32,4.83,1.5,1893,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-08,896247,4048,2979.857,22271,37,36.714,23746.576,107.254,78.953,590.083,0.98,0.973,1.03,541,14.334,2022,53.574,,,,,96855,25277398,669.739,2.566,104561,2.77,0.028,35.1,tests performed,2473868,1898266,575602,86679,75381,6.55,5.03,1.53,1997,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-09,899175,2928,3017.714,22302,31,37,23824.155,77.579,79.956,590.904,0.821,0.98,1.03,558,14.785,2086,55.27,,,,,76059,25353457,671.754,2.015,104618,2.772,0.029,34.7,tests performed,2543253,1964221,579032,69385,75002,6.74,5.2,1.53,1987,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-10,902234,3059,3057,22330,28,32.143,23905.205,81.05,80.997,591.646,0.742,0.852,1.04,550,14.573,2066,54.74,,,,,76578,25430035,673.783,2.029,104538,2.77,0.029,34.2,tests performed,2621289,2037806,583483,78036,75656,6.95,5.4,1.55,2005,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-11,905339,3105,3074.857,22367,37,30.714,23987.474,82.269,81.47,592.626,0.98,0.814,1.04,549,14.546,2046,54.21,,,,,113863,25543898,676.8,3.017,104373,2.765,0.029,33.9,tests performed,2719317,2131666,587651,98028,78557,7.2,5.65,1.56,2081,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-12,908854,3515,3153.143,22397,30,30.571,24080.606,93.132,83.544,593.421,0.795,0.81,1.05,545,14.44,2026,53.68,,,,,120366,25664264,679.989,3.189,103593,2.745,0.03,32.9,tests performed,2830164,2239490,590674,110847,82141,7.5,5.93,1.57,2176,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-13,911884,3030,3190.429,22426,29,30.571,24160.887,80.282,84.532,594.19,0.768,0.81,1.05,538,14.255,2039,54.024,,,,,123598,25787862,683.264,3.275,102870,2.726,0.031,32.2,tests performed,2934007,2340676,593331,103843,86341,7.77,6.2,1.57,2288,71.76,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-14,914595,2711,3199.429,22455,29,31.571,24232.717,71.829,84.771,594.958,0.768,0.837,1.06,542,14.361,1935,51.269,,,,,113550,25901412,686.273,3.009,102981,2.729,0.031,32.2,tests performed,3026665,2431332,595333,92658,91354,8.02,6.44,1.58,2420,71.76,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-15,918406,3811,3165.571,22484,29,30.429,24333.691,100.975,83.874,595.726,0.768,0.806,1.07,569,15.076,2069,54.819,,,,,94826,25996238,688.785,2.512,102691,2.721,0.031,32.4,tests performed,3151305,2550387,600918,124640,96777,8.35,6.76,1.59,2564,71.76,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-16,921263,2857,3155.429,22509,25,29.571,24409.389,75.698,83.605,596.389,0.662,0.784,1.07,568,15.049,2128,56.383,,,,,72540,26068778,690.707,1.922,102189,2.708,0.031,32.4,tests performed,3271309,2666388,604921,120004,104008,8.67,7.06,1.6,2756,71.76,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-17,924670,3407,3205.143,22543,34,30.429,24499.66,90.27,84.922,597.29,0.901,0.806,1.08,588,15.579,2108,55.853,,,,,72677,26141455,692.633,1.926,101631,2.693,0.032,31.7,tests performed,3409996,2799925,610071,138687,112672,9.03,7.42,1.62,2985,71.76,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-18,928283,3613,3277.714,22577,34,30,24595.388,95.728,86.845,598.191,0.901,0.795,1.09,585,15.5,2085,55.243,,,,,109185,26250640,695.526,2.893,100963,2.675,0.032,30.8,tests performed,3566328,2950647,615681,156332,121002,9.45,7.82,1.63,3206,71.76,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-19,932515,4232,3380.143,22605,28,29.714,24707.517,112.129,89.559,598.932,0.742,0.787,1.1,590,15.632,2102,55.694,,,,,121065,26371705,698.733,3.208,101063,2.678,0.033,29.9,tests performed,3729312,3107711,621601,162984,128450,9.88,8.23,1.65,3403,71.76,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-20,935932,3417,3435.429,22635,30,29.857,24798.053,90.535,91.024,599.727,0.795,0.791,1.1,582,15.42,2112,55.959,,,,,120344,26492049,701.922,3.189,100598,2.665,0.034,29.3,tests performed,3862685,3236471,626214,133373,132668,10.23,8.58,1.66,3515,71.76,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
CAN,North America,Canada,2021-03-21,939057,3125,3494.571,22656,21,28.714,24880.851,82.799,92.591,600.284,0.556,0.761,1.11,591,15.659,2112,55.959,,,,,100779,26592828,704.592,2.67,98774,2.617,0.035,28.3,tests performed,3954285,3324329,629956,91600,132517,10.48,8.81,1.67,3511,71.76,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
